time,count,precinct
1609850613777,33,Allgood Elem
1609851663652,39,Allgood Elem
1609855212303,61,Allgood Elem
1609858855564,76,Allgood Elem
1609862365537,98,Allgood Elem
1609866003076,129,Allgood Elem
1609869588615,165,Allgood Elem
1609873200903,187,Allgood Elem
1609876785406,217,Allgood Elem
1609880384484,254,Allgood Elem
1609884033300,280,Allgood Elem
1609887585866,328,Allgood Elem
1609852060365,71,Ashford Park Elem
1609855260097,125,Ashford Park Elem
1609859255486,193,Ashford Park Elem
1609862545666,252,Ashford Park Elem
1609869822098,361,Ashford Park Elem
1609873283392,407,Ashford Park Elem
1609880180158,452,Ashford Park Elem
1609880226413,497,Ashford Park Elem
1609884226281,544,Ashford Park Elem
1609852753478,73,Austin
1609860137136,184,Austin
1609870404734,303,Austin
1609875851436,365,Austin
1609883650373,441,Austin
1609887006739,465,Austin
1609891311453,595,Austin
1609848391147,5,Avondale
1609849117339,20,Avondale
1609851708676,43,Avondale
1609855534281,88,Avondale
1609858925533,155,Avondale
1609862542177,218,Avondale
1609865966221,281,Avondale
1609869553304,323,Avondale
1609873180147,381,Avondale
1609876694497,426,Avondale
1609880371424,474,Avondale
1609884090381,515,Avondale
1609887730885,567,Avondale
1609851979200,22,Austin Drive
1609851773449,77,Ashford Dunwoody Rd
1609855222817,126,Ashford Dunwoody Rd
1609858883786,184,Ashford Dunwoody Rd
1609862482864,248,Ashford Dunwoody Rd
1609866090313,321,Ashford Dunwoody Rd
1609869722221,353,Ashford Dunwoody Rd
1609873317619,403,Ashford Dunwoody Rd
1609876892035,448,Ashford Dunwoody Rd
1609880541377,493,Ashford Dunwoody Rd
1609884146348,536,Ashford Dunwoody Rd
1609887642616,580,Ashford Dunwoody Rd
1609849306062,20,Ashford Parkside
1609854208330,56,Ashford Parkside
1609859455484,121,Ashford Parkside
1609863041132,168,Ashford Parkside
1609866101775,216,Ashford Parkside
1609869982414,260,Ashford Parkside
1609873775559,303,Ashford Parkside
1609877216140,336,Ashford Parkside
