county,fips
Appling,13001
Barrow,13013
Bryan,13029
Candler,13043
Chattooga,13055
Clarke,13059
Colquitt,13071
Crawford,13079
Dodge,13091
Emanuel,13107
Fayette,13113
Gilmer,13123
Wheeler,13309
Whitfield,13313
Wilkinson,13319
Glascock,13125
Gordon,13129
Grady,13131
Hall,13139
Jackson,13157
Jones,13169
Laurens,13175
Lumpkin,13187
Marion,13197
Miller,13201
Newton,13217
Peach,13225
Polk,13233
Randolph,13243
Seminole,13253
Taliaferro,13265
Tift,13277
Troup,13285
Upson,13293
Washington,13303
Heard,13149
Cobb,13067
Coffee,13069
Columbia,13073
Coweta,13077
Crisp,13081
Decatur,13087
Dooly,13093
Dougherty,13095
Echols,13101
Effingham,13103
Evans,13109
Floyd,13115
Franklin,13119
Atkinson,13003
Bacon,13005
Baldwin,13009
Bartow,13015
Bleckley,13023
Brantley,13025
Bulloch,13031
Calhoun,13037
Charlton,13049
Chattahoochee,13053
Cherokee,13057
Clayton,13063
Wilkes,13317
Worth,13321
Habersham,13137
Hancock,13141
Hart,13147
Irwin,13155
Jasper,13159
Jenkins,13165
Lamar,13171
Lanier,13173
Lincoln,13181
Morgan,13211
Muscogee,13215
Quitman,13239
McIntosh,13191
Paulding,13223
Lowndes,13185
McDuffie,13189
Madison,13195
Meriwether,13199
Mitchell,13205
Montgomery,13209
Murray,13213
Oglethorpe,13221
Pierce,13229
Pike,13231
Pulaski,13235
Rabun,13241
Rockdale,13247
Spalding,13255
Stephens,13257
Tattnall,13267
Taylor,13269
Thomas,13275
Toombs,13279
Towns,13281
Twiggs,13289
Walker,13295
Warren,13301
Banks,13011
Berrien,13019
Brooks,13027
Burke,13033
Camden,13039
Chatham,13051
Clay,13061
Baker,13007
Bibb,13021
Butts,13035
Catoosa,13047
Clinch,13065
Cook,13075
Dawson,13085
Early,13099
Forsyth,13117
Webster,13307
White,13311
Wilcox,13315
Dade,13083
DeKalb,13089
Douglas,13097
Elbert,13105
Fannin,13111
Fulton,13121
Glynn,13127
Greene,13133
Haralson,13143
Houston,13153
Jefferson,13163
Long,13183
Macon,13193
Monroe,13207
Oconee,13219
Pickens,13227
Putnam,13237
Schley,13249
Stewart,13259
Telfair,13271
Treutlen,13283
Walton,13297
Gwinnett,13135
Harris,13145
Henry,13151
Jeff Davis,13161
Johnson,13167
Lee,13177
Liberty,13179
Turner,13287
Union,13291
Ware,13299
Wayne,13305
Ben Hill,13017
Carroll,13045
Richmond,13245
Screven,13251
Sumter,13261
Talbot,13263
Terrell,13273
