county,label,precinct
APPLING,1B,1B
APPLING,1C,1C
APPLING,2,2
APPLING,3A1,3A1
APPLING,3C,3C
APPLING,4B,4B
APPLING,4D,4D
APPLING,5A,5A
APPLING,5B,5B
ATKINSON,0001,Pearson County
ATKINSON,0002,Axson
ATKINSON,0003,Willacoochee
ATKINSON,0004,Pearson City
BACON,DOUGL,Douglas
BAKER,A,Anna
BAKER,E,Elmodel
BAKER,H,Hoggards Mill
BAKER,M,Milford
BAKER,N,Newton
BALDWIN,1714,Scottsboro
BALDWIN,318,North Baldwin
BALDWIN,319,West Baldwin
BALDWIN,321E,East Hardwick
BALDWIN,321W,West Hardwick
BALDWIN,322,Coopers
BALDWIN,CTY1,South Milledgeville
BALDWIN,CTY2,City Hall Annex
BALDWIN,CTY3,Boddie
BALDWIN,CTY4,Courthouse
BALDWIN,CTY5,Fire Dept
BALDWIN,CTY6,North Milledgeville
BALDWIN,MERI,Meriweather
BALDWIN,MONT,East Baldwin
BANKS,0001,Anderson
BANKS,0002,Baldwin
BANKS,0003,Berlin
BANKS,0004,Bushville
BANKS,0005,Columbia
BANKS,0006,Davids
BANKS,0007,Golden Hill
BANKS,0008,Grove River
BANKS,0009,Hollingsworth
BANKS,0010,Homer
BANKS,0011,Poplar Springs
BANKS,0012,Washington
BANKS,0013,Wilmonts
BARROW,01,01 Bethlehem Community Center
BARROW,02,02 Bethlehem Church - 211
BARROW,03,03 Hmong New Hope Alliance Church
BARROW,04,04 Covenant Life Sanctuary
BARROW,05,05 Fire Station 1 (Statham)
BARROW,08,08 First Baptist Church Winder
BARROW,13,13 Winder Community Center
BARROW,16,16 The Church at Winder
BARTOW,01,Adairsville
BARTOW,02,Allatoona
BARTOW,03,Cartersville East
BARTOW,04,Cartersville West
BARTOW,05,Hamilton Crossing
BARTOW,06,Center
BARTOW,07,Emerson
BARTOW,08,Euharlee
BARTOW,09,Folsom
BARTOW,10,Kingston
BARTOW,11,Mission Road
BARTOW,12,Pine Log
BARTOW,14,Taylorsville
BARTOW,15,White
BARTOW,16,Zena Drive
BARTOW,17,Cassville
BARTOW,18,Woodland
BEN HILL,1,East
BEN HILL,2,West
BERRIEN,11062,West Berrien
BERRIEN,1144,Ray City
BERRIEN,1157,Nashville
BERRIEN,1642,Enigma
BERRIEN,518,Alapaha
BIBB,EM1,East Macon 1
BIBB,EM2,East Macon 2
BIBB,EM3,East Macon 3
BIBB,EM4,East Macon 4
BIBB,EM5,East Macon 5
BIBB,GF1,Godfrey 1
BIBB,GF2,Godfrey 2
BIBB,GF3,Godfrey 3
BIBB,GF4,Godfrey 4
BIBB,GF5,Godfrey 5
BIBB,HA1,Hazzard 1
BIBB,HA2,Hazzard 2
BIBB,HA3,Hazzard 3
BIBB,HA4,Hazzard 4
BIBB,HO1,Howard 1
BIBB,HO2,Howard 2
BIBB,HO3,Howard 3
BIBB,HO4,Howard 4
BIBB,HO5,Howard 5
BIBB,HO6,Howard 6
BIBB,HO7,Howard 7
BIBB,RU1,Rutland 1
BIBB,RU2,Rutland 2
BIBB,VV1,Vineville 1
BIBB,VV2,Vineville 2
BIBB,VV3,Vineville 3
BIBB,VV4,Vineville 4
BIBB,VV5,Vineville 5
BIBB,VV6,Vineville 6
BIBB,WA1,Warrior 1
BIBB,WA2,Warrior 2
BLECKLEY,1,Fairground
BRANTLEY,1,Hoboken
BRANTLEY,2,Nahunta
BRANTLEY,3,Waynesville
BROOKS,1199,Quitman
BROOKS,1230,Barwick
BROOKS,1402,Dixie
BROOKS,1650,Briggs
BROOKS,1712,Pavo
BROOKS,659,Nankin
BROOKS,660,Morven
BRYAN,1,Pembroke
BRYAN,10,Danielsiding
BRYAN,2,Ellabell
BRYAN,3,Black Creek
BRYAN,4,Ways Station
BRYAN,5,RH Rec Complex
BRYAN,6,JF Gregory Park
BRYAN,7,Keller
BRYAN,8,Hwy 144 East
BRYAN,9,Public Safety Complex
BULLOCH,1,Lockhart
BULLOCH,10,Emit
BULLOCH,11,Statesboro
BULLOCH,12,Portal
BULLOCH,13,Fair
BULLOCH,14,Church
BULLOCH,15,Pittman Park
BULLOCH,16,Leefield
BULLOCH,2,Blitch
BULLOCH,3,Hagin
BULLOCH,4,Brooklet
BULLOCH,5,Stilson
BULLOCH,6,Bay
BULLOCH,7,Nevils
BULLOCH,8,Sinkhole
BULLOCH,9,Register
BURKE,0001,Alexander
BURKE,0002,Four Points
BURKE,0003,Girard
BURKE,0004,Gough
BURKE,0005,Greenscut
BURKE,0006,Keysville
BURKE,0007,Midville
BURKE,0008,Munnerlyn
BURKE,0009,Sardis
BURKE,0010,Scotts Crossroads
BURKE,0011,Telfair
BURKE,0012,St Clair
BURKE,0013,Vidette
BURKE,0014,North Waynesboro
BURKE,0015,South Waynesboro
BURKE,0016,Blakeney
BUTTS,BCAB,Butts County Admin Bldg
CALHOUN,1,Leary
CALHOUN,2,Morgan
CALHOUN,3,Edison
CALHOUN,4,Edison-Arlington
CALHOUN,5,Arlington
CAMDEN,01,Tarboro
CAMDEN,02,Waverly
CAMDEN,03,Woodbine
CAMDEN,04,Browntown
CAMDEN,05,Harrietts Bluff
CAMDEN,06,West Kingsland
CAMDEN,07,North Kingsland
CAMDEN,08,Kingsland
CAMDEN,09,East Kingsland
CAMDEN,10,North St Marys
CAMDEN,11,St Marys
CAMDEN,12,South St Marys
CAMDEN,13,Mush Bluff
CAMDEN,14,West St Marys
CANDLER,CAND,Jack Strickland Comm Center
CARROLL,1006,Kansas
CARROLL,1111,Bowdon
CARROLL,1122,Sandhill
CARROLL,1152,Center Point
CARROLL,1240,Mt Zion
CARROLL,1371,Burwell
CARROLL,1483,Clem
CARROLL,1496,Bowdon Junction
CARROLL,1533,Tyus
CARROLL,1540,Fairfield
CARROLL,1542,Hulett
CARROLL,501,Bethany
CARROLL,640,V R County South
CARROLL,641,V R County North
CARROLL,642,Villa Rica City
CARROLL,649,Temple County
CARROLL,650,Temple City
CARROLL,682,Whitesburg
CARROLL,713,Roopville
CARROLL,714A1,West Carrollton
CARROLL,714A2,Lakeshore Rec Center
CARROLL,714A3,Bonner
CARROLL,714A4,University of W GA
CARROLL,714A5,County Admin Bldg
